CC.EST,GE.EST,PV.EST,RL.EST,RL.NO.SRC,RQ.EST,VA.EST
0.484494269,-0.433251232,1.221251845,0.652460515,3,-0.317361802,1.173960209
1.12494278,1.539180875,0.755992591,1.217756033,9,1.36607933,1.095303893
-0.405753613,-0.739272416,-0.480807662,-0.615206003,14,-0.689335167,-0.735241413
-1.06589222,-0.616496086,-0.811038911,-0.3455742,14,-0.482214451,-0.712288141
-0.832628608,-0.410091132,-1.163936496,-0.713144362,11,-0.266943336,0.088904954
1.3646667,0.73021096,1.054964304,0.647405028,12,0.687180042,1.306770444
1.037831903,1.274593234,-0.027899733,1.336493731,10,1.238437533,0.856265664
-1.073404193,-0.615506291,-0.436698049,-1.117878437,11,-0.999216437,-1.53147614
0.798051178,0.307117879,1.032623649,0.596641421,4,0.345437974,0.906195104
-1.575733066,-1.889375687,-1.551842809,-2.331934929,12,-2.267459154,-1.51546669
-0.001319034,0.632649243,1.003442287,0.870141327,1,1.335421324,0
-0.374517351,0.193557769,-0.038989063,-0.189501882,10,-0.236916333,-1.376616001
-0.16922608,-0.38405177,0.882161856,0.298903048,6,-0.379000276,0.648328364
0.712402642,0.545318902,1.147822022,1.011369348,3,-0.208590478,0.778863788
-0.462970525,-0.3328982,-0.27922073,-0.406139523,8,-0.320575327,-0.16026257
-1.711300611,-2.362375498,-2.64773345,-1.773077726,9,-1.857521653,-1.763690472
-0.059475705,0.046534523,-0.252867222,-0.243993983,13,0.020494822,0.690293968
-0.731881857,-0.824682415,-0.130979195,-0.648217261,14,-0.687793911,-0.429177761
-1.308787823,-1.342368126,-1.052743435,-1.337362051,12,-1.43441534,-1.114598632
